Format Version,1.0,
Take Name,trial2-subject1-070220_001,
Capture Frame Rate,100.00,
Export Frame Rate,100.00,
Capture Start Time,07 Feb 2020 17:30:04 +0900,
Total Frames In Take,30272,
Total Exported Frames,30272,
Coordinate Space,Local,
Device Name,AMTI 3195 3195,
Device Type,2,
Device Channel Count,6,
Mocap Rate,100.00,
Mocap Rate Multiple,1.00,

PlateLength,19.750000,
PlateWidth,19.750000,
PlateOrder,2,
PosX_PosY_X,1.001510,
PosX_PosY_Y,-0.003223,
PosX_PosY_Z,0.498871,
NegX_PosY_X,0.499539,
NegX_PosY_Y,-0.002777,
NegX_PosY_Z,0.499509,
NegX_NegY_X,0.499720,
NegX_NegY_Y,0.000446,
NegX_NegY_Z,-0.001964,
PosX_NegY_X,1.001690,
PosX_NegY_Y,0.000000,
PosX_NegY_Z,-0.002602,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz
45,0.450000,45,8.193848,-3.856201,-26.175781,1.548035,-0.691406,-3.767090,-0.026414,-0.059140,0.000000
46,0.460000,46,8.310547,-4.777832,-26.803711,1.501709,-0.764008,-4.069824,-0.028504,-0.056026,0.000000
47,0.470000,47,8.220215,-4.625488,-26.804688,1.590454,-0.718201,-3.952026,-0.026794,-0.059335,0.000000
48,0.480000,48,7.580811,-4.791748,-26.925781,1.571594,-0.713043,-4.305176,-0.026482,-0.058368,0.000000
49,0.490000,49,7.343750,-3.840576,-26.554688,1.617371,-0.668152,-3.733521,-0.025161,-0.060907,0.000000
50,0.500000,50,7.642334,-4.329346,-26.164063,1.559570,-0.708405,-3.935181,-0.027075,-0.059607,0.000000
51,0.510000,51,7.395752,-4.980713,-26.666016,1.529724,-0.718353,-3.481445,-0.026939,-0.057366,0.000000
52,0.520000,52,8.189941,-4.564697,-26.677734,1.519531,-0.694702,-4.069824,-0.026041,-0.056959,0.000000
53,0.530000,53,7.797607,-4.109619,-26.553711,1.531494,-0.751923,-4.187500,-0.028317,-0.057675,0.000000
54,0.540000,54,7.580566,-4.760986,-26.797852,1.593811,-0.640930,-3.918457,-0.023917,-0.059475,0.000000
55,0.550000,55,7.521729,-4.699707,-27.183594,1.615784,-0.714905,-4.036377,-0.026299,-0.059440,0.000000
56,0.560000,56,7.280762,-4.365234,-27.058594,1.538269,-0.720367,-4.086670,-0.026623,-0.056850,0.000000
57,0.570000,57,7.494141,-4.115234,-26.679688,1.554871,-0.664978,-3.666260,-0.024925,-0.058279,0.000000
58,0.580000,58,7.343018,-4.056152,-26.807617,1.669067,-0.717163,-3.615967,-0.026752,-0.062261,0.000000
59,0.590000,59,7.419434,-5.597656,-26.398438,1.590820,-0.719208,-3.414185,-0.027244,-0.060262,0.000000
60,0.600000,60,8.430176,-5.053223,-26.927734,1.485474,-0.618225,-3.582397,-0.022959,-0.055165,0.000000
